"﻿""sku""",productName,model,brand,category,productType,variant,color,capacityMl,material,straw,countryOfOrigin,supplierCost,images,imageUrls,sourceRow,declaredValue,packagingWeightKg,packageLengthCm,packageWidthCm,packageHeightCm,estimatedFields
ET-12-31-09,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,凯瑟王座皓月银/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,,,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-10,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,祈祷之手皓月银/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,,,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-11,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,荣耀骑士皓月银/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,,,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-12,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,加冕皓月银/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,,,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-13,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,骑士钛银色/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,,,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-14,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,自由钛银色/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,,,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-15,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,凯瑟王座钛银色/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,,,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-16,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,祈祷之手钛银色/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,,,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-17,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,Titan-S钛银色/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,,,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-18,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,Titan-B钛银色/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,,,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
